City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,invercargill,-46.4,168.35,8.34,94,100,2.24,NZ,1717955231
84,santa cruz,-17.8,-63.1667,30.03,54,40,12.35,BO,1717955148
85,masterton,-40.9597,175.6575,14.5,86,100,4.14,NZ,1717955231
86,codrington,-38.2667,141.9667,5.79,92,5,2.95,AU,1717955231
87,mikhaylovskaya,44.9947,40.5964,18.57,67,100,2.62,RU,1717955231
88,akureyri,65.6835,-18.0878,6.96,76,40,5.14,IS,1717955231
89,vadso,70.0744,29.7487,7.49,87,75,6.69,NO,1717955231
90,east london,-33.0153,27.9116,13.52,88,0,1.54,ZA,1717955231
91,severo-yeniseyskiy,60.3725,93.0408,8.1,98,85,1.34,RU,1717955231
92,college,64.8569,-147.8028,21.2,47,100,2.57,US,1717955231
93,uturoa,-16.7333,-151.4333,26.98,81,100,4.98,PF,1717955231
94,saipan,15.1355,145.701,28.39,78,20,4.12,MP,1717955231
95,colonia,50.9333,6.95,19.36,39,0,5.66,DE,1717955138
96,linares,-35.85,-71.6,15.15,71,93,3.91,CL,1717955135
97,port lincoln,-34.7333,135.8667,15.05,54,100,3.21,AU,1717955232
98,talas,38.6908,35.5538,18.37,55,40,3.09,TR,1717955110
99,west island,-12.1568,96.8225,26.99,83,40,2.57,CC,1717955232
100,afaahiti,-17.75,-149.2833,24.93,85,100,8.31,PF,1717955232
101,okha,53.5739,142.9478,5.14,95,100,5.36,RU,1717955232
102,mersing,2.4312,103.8405,24.95,100,40,2.57,MY,1717955232
103,huilong,31.8111,121.655,22.44,72,99,3.27,CN,1717955232
104,gizo,-8.103,156.8419,28.12,79,55,2.39,SB,1717955232
105,katsuura,35.1333,140.3,18.28,88,100,1.61,JP,1717955232
106,rodolfo sanchez taboada,31.7167,-116.5667,15.61,83,74,2.68,MX,1717955232
107,huayin,34.5675,110.0921,23.85,46,20,3.93,CN,1717955232
108,mata-utu,-13.2816,-176.1745,27.22,78,97,8.9,WF,1717955232
109,tayshet,55.9342,98.0044,12.44,98,30,2.39,RU,1717955232
110,badger,64.8,-147.5333,21.15,46,100,2.57,US,1717955233
111,tazovsky,67.4667,78.7,1.35,82,69,2.7,RU,1717955233
112,popilnia,49.9665,29.4435,16.97,99,100,3.82,UA,1717955233
113,happy valley-goose bay,53.3168,-60.3315,24.17,43,20,6.69,CA,1717955233
114,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,63,75,6.26,RU,1717955233
115,la ronge,55.1001,-105.2842,7.14,87,100,2.57,CA,1717955233
116,martapura,-3.4167,114.85,26.05,94,48,1.03,ID,1717955233
117,tortoli,39.9256,9.6572,28.41,71,8,8.23,IT,1717955233
118,iskateley,67.6803,53.1512,5.01,71,97,4.92,RU,1717955233
119,essenbach,48.6167,12.2167,20.18,90,100,1.57,DE,1717955233
120,fayetteville,35.0527,-78.8784,35.27,41,0,4.63,US,1717955233
121,kingston,17.997,-76.7936,31.76,66,75,10.29,JM,1717955233
122,daru,-9.0763,143.2092,25.99,88,95,7.75,PG,1717955233
123,kalmunai,7.4167,81.8167,28.39,74,100,1.71,LK,1717955234
124,keflavik,64.0049,-22.5624,11.24,58,0,5.14,IS,1717955234
125,zeerust,-25.5369,26.0751,9.85,53,0,2.05,ZA,1717955234
126,kruisfontein,-34.0033,24.7314,10.49,74,0,1.48,ZA,1717954935
127,lycksele,64.5954,18.6735,9.68,93,40,5.66,SE,1717955075
128,arkalyk,50.2486,66.9114,22.64,60,37,3.31,KZ,1717955234
